Rank,Title,Year
213.,Rocky,1976
214.,Ford v Ferrari,2019
215.,Stand by Me,1986
216.,The Terminator,1984
217.,Rush,2013
218.,Spotlight,2015
219.,Into the Wild,2007
220.,Network,1976
221.,The Wizard of Oz,1939
222.,Logan,2017
223.,Groundhog Day,1993
224.,Ratatouille,2007
225.,The Exorcist,1973
226.,Before Sunset,2004
227.,The Best Years of Our Lives,1946
228.,The Incredibles,2004
229.,To Be or Not to Be,1942
230.,Rebecca,1940
231.,The Grapes of Wrath,1940
232.,La battaglia di Algeri,1966
233.,Hachi: A Dog's Tale,2009
234.,Cool Hand Luke,1967
235.,Amores perros,2000
236.,Pirates of the Caribbean: The Curse of the Black Pearl,2003
237.,Les quatre cents coups,1959
238.,La haine,1995
239.,Persona,1966
240.,Life of Brian,1979
241.,Dersu Uzala,1975
242.,Babam ve Oglum,2005
243.,It Happened One Night,1934
244.,The Sound of Music,1965
245.,Ah-ga-ssi,2016
246.,Aladdin,1992
247.,Gandhi,1982
248.,Jai Bhim,2021
249.,The Help,2011
250.,Beauty and the Beast,1991
